,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
64,Cobee,Cobee es una startup española que ha desarrollado una herramienta para proporcionar a las empresas una retribución flexible que permita motivar y retener a sus empleados sin necesidad de realizar una gran inversión y sin incrementar los costes de gestión de la compañía.,,,,,16.48,5,2018,"Comunidad de Madrid, España",,https://cobee.io
65,Weecover,Weecover es la insurtech que está revolucionando el sector con su propuesta de Embedded Insurance: la integración del seguro en cualquier proceso online con un solo clic. Gracias a su exclusiva tecnología cualquier negocio digital o tienda física puede ofrecer ágilmente seguros con activación al instante. Es el seguro hecho fácil que ha venido a transformar el modelo de negocio digital.,,,Insurtech,,2.3,2,2019,"Cataluña, España",,https://weecover.com
66,Cleverea,"Cleverea es la primera neoaseguradora digital de España. Tiene sede en Barcelona y su misión es convertirse en la revolución del sector asegurador. En Cleverea no solo buscan innovar en la distribución de seguros, sino que también son innovadores en coberturas, el uso del seguro, el lenguaje y contenido de las pólizas, la atención al cliente, la gestión de siniestros y el pago de indemnizaciones, entre otros. Cleverea diseña, desarrolla y distribuye seguros de movilidad (moto, auto, patinete, bici) y seguros de hogar.",,,Insurtech,,5.0,4,2019,"Cataluña, España",,https://cleverea.com/es
67,Vitaance,"Vitaance es la primera insurtech española en ofrecer seguros de vida que ayudan a sus clientes a vivir mejor mediante un sistema de hábitos saludables en los aspectos físico, emocional, social y financiero, recompensándolos por ello. Vitaance busca cambiar la percepción que se tiene en España del seguro de vida con una oferta innovadora centrada en sus clientes.",,,Insurtech,,3.37,2,2021,"Cataluña, España",,https://www.vitaance.com/ 
68,IMeureka,"IMeureka es el primer marketplace global del mercado, que incorpora transparencia y eficiencia a todo el proceso de intermediación de una póliza. IMeureka trata de facilitar a clientes, brokers y mercado asegurador en su gestión en lo relativo a la intermediación y gerencia de riesgos. Ayudan a optimizar los costes mejorando las cuentas de resultados de los clientes.",,,,,,0,2018,"Comunidad de Madrid, España",,https://www.imeureka.com
69,Asistensi,"Asistensi es una insurtech dirigida por médicos especializados en servicios de salud y especialistas en seguros, finanzas y tecnología con un alto nivel de compromiso enfocado a la generación de valor y calidad de vida para nuestros clientes.Somos una plataforma digital de seguros de emergencia y asistencia médica inmediata enfocada en apoyar a quienes han emigrado para que puedan seguir cuidando a sus seres queridos en sus países de origen, sin importar las distancias.",,,,,11.12,0,2020,"Comunidad de Madrid, España",,https://www.asistensi.com/ 
70,Cuideo,"Cuideo es una startup que ofrece de cuidados a mayores a domicilio. Gracias a un sistema de matching entre usuarios y cuidadores, Cuideo permite unir y poner en contacto a cuidadores y usuarios en pocas horas basándose en la patología de la persona dependiente y en la experiencia del profesional. Esta rapidez permite comenzar el servicio a las 48 horas de recibir la petición, además, ofrece flexibilidad total para cambiar la planificación horaria en cualquier momento.",,,Insurtech,,2.5,4,2016,"Comunidad de Madrid, España",,https://cuideo.com/
71,Getlife,"Getlife, la nueva startup de seguros de vida que ha llegadopararenovar el sector. El seguro con cobertura de fallecimiento e invalidez flexible, 100% online y que se puede contratar en tan solo 5 minutos. Getlife es una insurtechcon la tecnología más avanzada, que quiere hacer llegar a todas las personas un seguro de vida con las mejores condiciones. Sin letra pequeña, sin permanencia y que podrás pagar mes a mes sin ningún tipo de recargo. Su objetivo es que todo el mundo encuentre el seguro de vida que mejor se adapte a sus necesidadesparapoder conseguir la tranquilidad que buscan.",,,Insurtech,,7.0,0,2021,"Comunidad de Madrid, España",,https://getlife.es/
72,GetPulpo,"Pulpo desarrolla un software con el que centralizar en una única plataforma toda la información generada por una flota vehicular, ahorrando costes y reduciendo tiempos de gestión. Integra a todos los proveedores de la flota, a otras plataformas software y ofrece herramientas propias para una gestión integral de todas las operaciones. Fundada en 2017 por Evaristo Babé y Javier Arambarri, en diciembre de 2019 cerró una ronda de financiación de 5 millones de euros con la que está acometiendo su plan de expansión internacional en EEUU y Europa occidental.",,,Logistica,,1.8,0,2017,"Comunidad de Madrid, España",,https://www.getpulpo.com
73,HelloAuto,"Hello Auto es una neoaseguradora que ha nacido para revolucionar el sector. Ofrecen seguros más baratos a aquellos que conducen mejor. Para conocer esto, ellos han desarrollado un dispositivo, llamado Hello Auto Connect, que ofrece una gran cantidad de funcionalidades muy útiles para la operación salida, a varios niveles. Así, el dispositivo tiene WiFi, permitiendo amenizar los viajes, en particular a los niños, para los que los viajes en carretera son especialmente pesados. También tiene sistema e-call, permitiendo que la central de la aseguradora reciba una alarma siempre que un vehículo con su dispositivo tenga un accidente, posibilitando una rápida puesta en marcha del protocolo de emergencia. Asimismo, con su sistema de alertas sobre el estado del vehículo, permite que conozcamos siempre si nuestro coche está a punto, o si hay que hacer alguna reparación o revisión. Por último, en línea con su idea de ajustar los precios a cada conductor y su uso, en caso de no utilizar el coche o hacerlo poco, Hello Auto les ofrece un gran ahorro en su póliza.",,"B2B2C,B2C",,,,0,2017,"Andalucía, España",,https://helloauto.com/
74,Senniors,"Senniors es una startup en el sector HealthTech, en la que se combina humanidad y tecnología para que las personas mayores y dependientes puedan seguir viviendo en casa con la mejor salud y la mayor calidad de vida posible.",,,,,,3,2020,"Comunidad de Madrid, España",,https://senniors.com/
75,Gocleer,"Gocleer es una startup que buscar ayudar a las personas a vivir en un mundo más seguro, más sostenible y colaborativo ofreciendo servicios de seguro digital claros, justos e inteligentes para personas responsables con su comunidad. Aplican tecnología y datos reales para poder ofrecer un servicio 100% personalizados.",,,Insurtech,,0.93,4,2020,"Cataluña, España",,http://gocleer.com/
